Chromosome	gene	max_pvalue	phenotype	phenotype_number	log10
2	SORBI_3002G170666	9.48E-08	"Sum_DG_Sum_PA,TG_50_4_,TG_50_5_"	3	7.022965275
2	SORBI_3002G170700	9.48E-08	"Sum_DG_Sum_PA,TG_50_4_,TG_50_5_"	3	7.022965275
2	SORBI_3002G170780	5.60E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA,Sum_LPE_Sum_PA"	3	7.252120664
2	SORBI_3002G170820	5.60E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA,Sum_LPE_Sum_PA"	3	7.252120664
2	SORBI_3002G171300	4.96E-09	"Sum_AEG_Sum_GalCer,Sum_Cer_Sum_GalCer,Sum_DGDG_Sum_GalCer"	3	8.304411864
2	SORBI_3002G171400	4.96E-09	"Sum_AEG_Sum_GalCer,Sum_Cer_Sum_GalCer,Sum_DGDG_Sum_GalCer"	3	8.304411864
2	SORBI_3002G171500	5.43E-08	"Sum_AEG_Sum_Cer,Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.265295358
2	SORBI_3002G171901	5.63E-08	"Sum_DGDG_Sum_PA,Sum_LPC_Sum_MGDG,Sum_LPE_Sum_MGDG"	3	7.249424576
2	SORBI_3002G172000	5.63E-08	"Sum_DGDG_Sum_PA,Sum_LPC_Sum_MGDG,Sum_LPE_Sum_MGDG"	3	7.249424576
2	SORBI_3002G173200	7.24E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.140219086
2	SORBI_3002G173300	7.24E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.140219086
2	SORBI_3002G173400	7.24E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.140219086
2	SORBI_3002G176700	2.02E-08	"Sum_AEG_Sum_GalCer,Sum_Cer_Sum_PA,Sum_DGDG_Sum_GalCer"	3	7.694811199
2	SORBI_3002G177000	5.55E-08	"Sum_AEG_Sum_GalCer,Sum_DG_Sum_TG,Sum_DGDG_Sum_TG"	3	7.255739805
2	SORBI_3002G177100	5.55E-08	"Sum_AEG_Sum_GalCer,Sum_DG_Sum_TG,Sum_DGDG_Sum_TG"	3	7.255739805
2	SORBI_3002G184450	2.39E-09	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	8.621168022
2	SORBI_3002G184500	5.22E-10	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	9.282578164
2	SORBI_3002G184700	7.54E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA,Sum_MGDG_Sum_TG"	3	7.122474202
2	SORBI_3002G184900	8.04E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.094953857
2	SORBI_3002G191400	3.94E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA,Sum_LPE_Sum_PA"	3	7.404819142
2	SORBI_3002G191450	3.94E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA,Sum_LPE_Sum_PA"	3	7.404819142
2	SORBI_3002G191500	3.94E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA,Sum_LPE_Sum_PA"	3	7.404819142
2	SORBI_3002G191600	3.94E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA,Sum_LPE_Sum_PA"	3	7.404819142
2	SORBI_3002G199650	8.78E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.056542237
2	SORBI_3002G199800	8.78E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.056542237
2	SORBI_3002G199850	8.78E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.056542237
2	SORBI_3002G200300	8.78E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.056542237
2	SORBI_3002G200400	8.78E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.056542237
2	SORBI_3002G200500	8.78E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.056542237
2	SORBI_3002G203000	7.18E-09	"Sum_DGDG_Sum_PA,Sum_LPC_Sum_PA,Sum_LPE_Sum_PA"	3	8.1438386
2	SORBI_3002G203050	7.18E-09	"Sum_DGDG_Sum_PA,Sum_LPC_Sum_PA,Sum_LPE_Sum_PA"	3	8.1438386
2	SORBI_3002G210300	9.68E-08	"FA_22_1_,Sum_DG_Sum_PA,TG_58_6_"	3	7.013993567
2	SORBI_3002G210401	9.68E-08	"FA_22_1_,Sum_DG_Sum_PA,TG_58_6_"	3	7.013993567
2	SORBI_3002G210500	9.68E-08	"FA_22_1_,Sum_DG_Sum_PA,TG_58_6_"	3	7.013993567
2	SORBI_3002G252300	4.18E-08	"Sum_DGDG_Sum_MG,Sum_LPC_Sum_SQDG,Sum_LPE_Sum_SQDG"	3	7.378979386
2	SORBI_3002G252400	4.18E-08	"Sum_DGDG_Sum_MG,Sum_LPC_Sum_SQDG,Sum_LPE_Sum_SQDG"	3	7.378979386
2	SORBI_3002G263200	2.99E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.524621878
2	SORBI_3002G280850	3.19E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA,Sum_LPE_Sum_PA"	3	7.496046521
2	SORBI_3002G281850	6.03E-09	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	8.219381811
2	SORBI_3002G281900	6.03E-09	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	8.219381811
2	SORBI_3002G282000	6.03E-09	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	8.219381811
2	SORBI_3002G282100	6.03E-09	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	8.219381811
2	SORBI_3002G282150	6.03E-09	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	8.219381811
2	SORBI_3002G299200	2.43E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.614709107
2	SORBI_3002G326650	6.37E-08	"Sum_AEG_Sum_Cer,Sum_Cer_Sum_PA,Sum_FA_Sum_PA"	3	7.196165294
2	SORBI_3002G336000	3.69E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.433293411
2	SORBI_3002G336100	1.08E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.968327
2	SORBI_3002G336200	1.08E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.968327
2	SORBI_3002G336400	1.08E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.968327
2	SORBI_3002G336500	1.08E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.968327
2	SORBI_3002G336600	1.08E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.968327
2	SORBI_3002G341000	6.25E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.204295473
2	SORBI_3002G341100	6.25E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.204295473
2	SORBI_3002G341200	6.25E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.204295473
2	SORBI_3002G341400	9.64E-08	"FA_22_0__amide,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.015889314
2	SORBI_3002G341500	9.64E-08	"FA_22_0__amide,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.015889314
2	SORBI_3002G341600	9.64E-08	"FA_22_0__amide,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.015889314
2	SORBI_3002G341700	9.64E-08	"FA_22_0__amide,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.015889314
2	SORBI_3002G343901	8.47E-08	"Sum_AEG_Sum_GalCer,Sum_Cer_Sum_GalCer,Sum_DGDG_Sum_GalCer"	3	7.072177662
2	SORBI_3002G344000	8.47E-08	"Sum_AEG_Sum_GalCer,Sum_Cer_Sum_GalCer,Sum_DGDG_Sum_GalCer"	3	7.072177662
2	SORBI_3002G344900	1.63E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.78674024
2	SORBI_3002G345000	1.63E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.78674024
2	SORBI_3002G345100	1.63E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.78674024
2	SORBI_3002G345200	1.63E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.78674024
2	SORBI_3002G349900	4.21E-08	"DGTS_34_5_,Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	3	7.375725228
2	SORBI_3002G350000	4.21E-08	"DGTS_34_5_,Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	3	7.375725228
2	SORBI_3002G350100	4.21E-08	"DGTS_34_5_,Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	3	7.375725228
2	SORBI_3002G367400	9.94E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA,Sum_FA_Sum_LPC"	3	7.002616456
2	SORBI_3002G367500	9.94E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA,Sum_FA_Sum_LPC"	3	7.002616456
2	SORBI_3002G367600	9.94E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA,Sum_FA_Sum_LPC"	3	7.002616456
2	SORBI_3002G367700	9.94E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA,Sum_FA_Sum_LPC"	3	7.002616456
2	SORBI_3002G374200	9.97E-08	"TG_58_6_,TG_60_4_,TG_60_5_"	3	7.001443951
2	SORBI_3002G374300	9.97E-08	"TG_58_6_,TG_60_4_,TG_60_5_"	3	7.001443951
2	SORBI_3002G375600	6.42E-09	"Sum_AEG_Sum_Cer,Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	3	8.192344306
2	SORBI_3002G375701	6.42E-09	"Sum_AEG_Sum_Cer,Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	3	8.192344306
2	SORBI_3002G380200	7.79E-08	"Sum_DGDG_Sum_PE,Sum_MGDG_Sum_PE,Sum_PC_Sum_PE"	3	7.108460089
2	SORBI_3002G380300	7.79E-08	"Sum_DGDG_Sum_PE,Sum_MGDG_Sum_PE,Sum_PC_Sum_PE"	3	7.108460089
2	SORBI_3002G380400	7.79E-08	"Sum_DGDG_Sum_PE,Sum_MGDG_Sum_PE,Sum_PC_Sum_PE"	3	7.108460089
2	SORBI_3002G380500	7.79E-08	"Sum_DGDG_Sum_PE,Sum_MGDG_Sum_PE,Sum_PC_Sum_PE"	3	7.108460089
2	SORBI_3002G382700	4.12E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA,Sum_LPE_Sum_PA"	3	7.384871784
2	SORBI_3002G382800	4.12E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA,Sum_LPE_Sum_PA"	3	7.384871784
2	SORBI_3002G382900	4.12E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA,Sum_LPE_Sum_PA"	3	7.384871784
2	SORBI_3002G393000	7.90E-08	"Sum_Cer_Sum_PA,TG_60_4_,TG_60_5_"	3	7.102302987
2	SORBI_3002G408500	1.33E-08	"TG_60_4_,TG_60_5_,TG_60_6_"	3	7.874985486
2	SORBI_3002G408600	1.33E-08	"TG_60_4_,TG_60_5_,TG_60_6_"	3	7.874985486
2	SORBI_3002G408700	1.33E-08	"TG_60_4_,TG_60_5_,TG_60_6_"	3	7.874985486
2	SORBI_3002G408800	1.33E-08	"TG_60_4_,TG_60_5_,TG_60_6_"	3	7.874985486
2	SORBI_3002G416500	1.31E-08	"Sum_AEG_Sum_DGDG,Sum_Cer_Sum_DGDG,Sum_DGDG_Sum_MGDG"	3	7.882898145
2	SORBI_3002G416600	1.31E-08	"Sum_AEG_Sum_DGDG,Sum_Cer_Sum_DGDG,Sum_DGDG_Sum_MGDG"	3	7.882898145
2	SORBI_3002G416700	1.31E-08	"Sum_AEG_Sum_DGDG,Sum_Cer_Sum_DGDG,Sum_DGDG_Sum_MGDG"	3	7.882898145
2	SORBI_3002G420800	1.06E-08	"Sum_AEG_Sum_GalCer,Sum_Cer_Sum_GalCer,Sum_DGDG_Sum_GalCer"	3	7.973834591
2	SORBI_3002G424700	7.20E-08	"FA_22_0__amide,Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.142871549
2	SORBI_3002G427100	5.74E-08	"Sum_AEG_Sum_GalCer,Sum_Cer_Sum_GalCer,Sum_DGDG_Sum_GalCer"	3	7.240993995
2	SORBI_3002G427201	5.74E-08	"Sum_AEG_Sum_GalCer,Sum_Cer_Sum_GalCer,Sum_DGDG_Sum_GalCer"	3	7.240993995
3	SORBI_3003G022600	9.88E-08	"Sum_AEG_Sum_Cer,Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.005279717
3	SORBI_3003G032400	9.49E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer,Sum_MGDG_Sum_TG"	3	7.022783947
3	SORBI_3003G032450	9.49E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer,Sum_MGDG_Sum_TG"	3	7.022783947
3	SORBI_3003G032500	9.49E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer,Sum_MGDG_Sum_TG"	3	7.022783947
3	SORBI_3003G037300	1.79E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.747675723
3	SORBI_3003G037400	1.79E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.747675723
3	SORBI_3003G037500	1.79E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.747675723
3	SORBI_3003G040600	7.00E-09	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	8.154995592
3	SORBI_3003G040700	7.00E-09	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	8.154995592
3	SORBI_3003G040800	7.00E-09	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	8.154995592
3	SORBI_3003G041600	5.35E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.271690786
3	SORBI_3003G041700	5.35E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.271690786
3	SORBI_3003G041801	5.35E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.271690786
3	SORBI_3003G052400	4.65E-08	"Sum_AEG_Sum_LPC,Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.332217109
3	SORBI_3003G052500	4.65E-08	"Sum_AEG_Sum_LPC,Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.332217109
3	SORBI_3003G052900	4.47E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.349730078
3	SORBI_3003G053001	4.47E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.349730078
3	SORBI_3003G053400	2.01E-08	"Sum_DG_Sum_TG,Sum_FA_Sum_GalCer,Sum_MGDG_Sum_TG"	3	7.696856666
3	SORBI_3003G053500	2.01E-08	"Sum_DG_Sum_TG,Sum_FA_Sum_GalCer,Sum_MGDG_Sum_TG"	3	7.696856666
3	SORBI_3003G053600	2.01E-08	"Sum_DG_Sum_TG,Sum_FA_Sum_GalCer,Sum_MGDG_Sum_TG"	3	7.696856666
3	SORBI_3003G053700	2.01E-08	"Sum_DG_Sum_TG,Sum_FA_Sum_GalCer,Sum_MGDG_Sum_TG"	3	7.696856666
3	SORBI_3003G053750	2.01E-08	"Sum_DG_Sum_TG,Sum_FA_Sum_GalCer,Sum_MGDG_Sum_TG"	3	7.696856666
3	SORBI_3003G053800	2.01E-08	"Sum_DG_Sum_TG,Sum_FA_Sum_GalCer,Sum_MGDG_Sum_TG"	3	7.696856666
3	SORBI_3003G067600	9.55E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer,TG_58_6_"	3	7.020095095
3	SORBI_3003G067700	9.55E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer,TG_58_6_"	3	7.020095095
3	SORBI_3003G067800	9.55E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer,TG_58_6_"	3	7.020095095
3	SORBI_3003G067900	9.55E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer,TG_58_6_"	3	7.020095095
3	SORBI_3003G072400	7.14E-08	"Sum_DG_Sum_TG,Sum_PA_Sum_TG,Sum_SQDG_Sum_TG"	3	7.146511565
3	SORBI_3003G072500	7.14E-08	"Sum_DG_Sum_TG,Sum_PA_Sum_TG,Sum_SQDG_Sum_TG"	3	7.146511565
3	SORBI_3003G072566	7.14E-08	"Sum_DG_Sum_TG,Sum_PA_Sum_TG,Sum_SQDG_Sum_TG"	3	7.146511565
3	SORBI_3003G072632	7.14E-08	"Sum_DG_Sum_TG,Sum_PA_Sum_TG,Sum_SQDG_Sum_TG"	3	7.146511565
3	SORBI_3003G072700	7.14E-08	"Sum_DG_Sum_TG,Sum_PA_Sum_TG,Sum_SQDG_Sum_TG"	3	7.146511565
3	SORBI_3003G072801	7.14E-08	"Sum_DG_Sum_TG,Sum_PA_Sum_TG,Sum_SQDG_Sum_TG"	3	7.146511565
3	SORBI_3003G073133	5.67E-08	"Sum_DG_Sum_TG,Sum_LPE_Sum_MGDG,Sum_PA_Sum_TG"	3	7.246438312
3	SORBI_3003G073300	8.85E-08	"Sum_DG_Sum_TG,Sum_FA_Sum_GalCer,Sum_MGDG_Sum_TG"	3	7.053258711
3	SORBI_3003G073380	8.85E-08	"Sum_DG_Sum_TG,Sum_FA_Sum_GalCer,Sum_MGDG_Sum_TG"	3	7.053258711
3	SORBI_3003G073460	8.85E-08	"Sum_DG_Sum_TG,Sum_FA_Sum_GalCer,Sum_MGDG_Sum_TG"	3	7.053258711
3	SORBI_3003G073750	9.07E-08	"Sum_DG_Sum_TG,Sum_PA_Sum_TG,Sum_SQDG_Sum_TG"	3	7.042516459
3	SORBI_3003G074500	7.98E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer,TG_58_6_"	3	7.098044078
3	SORBI_3003G076500	7.93E-08	"Sum_AEG_Sum_Cer,Sum_DGDG_Sum_GalCer,Sum_FA_Sum_GalCer"	3	7.10084233
3	SORBI_3003G076700	7.93E-08	"FA_22_1_,Sum_AEG_Sum_Cer,Sum_DGDG_Sum_GalCer"	3	7.10084233
3	SORBI_3003G078600	7.68E-09	"Sum_AEG_Sum_GalCer,Sum_Cer_Sum_GalCer,Sum_DGDG_Sum_GalCer"	3	8.114641721
3	SORBI_3003G078700	7.68E-09	"Sum_AEG_Sum_GalCer,Sum_Cer_Sum_GalCer,Sum_DGDG_Sum_GalCer"	3	8.114641721
3	SORBI_3003G082900	5.20E-08	"DGDG_36_5_,Sum_LPE_Sum_MGDG,TG_50_5_"	3	7.283851109
3	SORBI_3003G082950	5.20E-08	"DGDG_36_5_,Sum_LPE_Sum_MGDG,TG_50_5_"	3	7.283851109
3	SORBI_3003G083500	2.19E-08	"PS_36_2_,Sum_PS,TG_50_5_"	3	7.659225035
3	SORBI_3003G083600	2.19E-08	"PS_36_2_,Sum_PS,TG_50_5_"	3	7.659225035
3	SORBI_3003G083700	2.19E-08	"PS_36_2_,Sum_PS,TG_50_5_"	3	7.659225035
3	SORBI_3003G085800	6.63E-08	"PS_36_2_,Sum_FA_Sum_GalCer,Sum_PS"	3	7.178630474
3	SORBI_3003G085900	6.63E-08	"PS_36_2_,Sum_Cer_Sum_GalCer,Sum_PS"	3	7.178630474
3	SORBI_3003G086200	5.03E-08	"Sum_Cer_Sum_GalCer,Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	3	7.29824297
3	SORBI_3003G086500	6.43E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.192072188
3	SORBI_3003G088600	6.49E-08	"FA_22_1_,PS_36_2_,Sum_PS"	3	7.187444984
3	SORBI_3003G088700	6.49E-08	"FA_22_1_,PS_36_2_,Sum_PS"	3	7.187444984
3	SORBI_3003G088800	6.49E-08	"FA_22_1_,PS_36_2_,Sum_PS"	3	7.187444984
3	SORBI_3003G090200	6.45E-08	"Sum_AEG_Sum_TG,Sum_PA_Sum_TG,Sum_SQDG_Sum_TG"	3	7.190590395
3	SORBI_3003G092800	3.02E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.519415341
3	SORBI_3003G092900	3.02E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.519415341
3	SORBI_3003G093000	3.02E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.519415341
3	SORBI_3003G095500	7.88E-08	"Sum_AEG_Sum_PA,Sum_LPC_Sum_PA,Sum_LPE_Sum_PA"	3	7.103304892
3	SORBI_3003G099100	8.76E-08	"Sum_Cer_Sum_PE,Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.057709127
3	SORBI_3003G101600	7.48E-08	"Sum_AEG_Sum_LPE,Sum_DGDG_Sum_LPE,Sum_LPC_Sum_LPE"	3	7.12614224
3	SORBI_3003G101700	7.48E-08	"Sum_AEG_Sum_LPE,Sum_DGDG_Sum_LPE,Sum_LPC_Sum_LPE"	3	7.12614224
3	SORBI_3003G102000	8.59E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_LPC_Sum_PA"	3	7.065820115
3	SORBI_3003G102100	8.59E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_LPC_Sum_PA"	3	7.065820115
3	SORBI_3003G102300	3.86E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,Sum_FA_Sum_GalCer"	3	7.413009754
3	SORBI_3003G104500	4.90E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,TG_50_5_"	3	7.310241093
3	SORBI_3003G104600	4.90E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,TG_50_5_"	3	7.310241093
3	SORBI_3003G104700	4.90E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,TG_50_5_"	3	7.310241093
3	SORBI_3003G104800	4.90E-08	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA,TG_50_5_"	3	7.310241093
3	SORBI_3003G113000	1.66E-08	"TG_54_6_,TG_54_7_,TG_56_6_"	3	7.78052524
3	SORBI_3003G113100	1.66E-08	"TG_54_6_,TG_54_7_,TG_56_6_"	3	7.78052524
3	SORBI_3003G115400	2.07E-08	"Sum_DGDG_Sum_PA,Sum_LPC_Sum_PA,Sum_LPE_Sum_PA"	3	7.684282542
3	SORBI_3003G115550	2.07E-08	"Sum_DGDG_Sum_PA,Sum_LPC_Sum_PA,Sum_LPE_Sum_PA"	3	7.684282542
3	SORBI_3003G121500	3.42E-08	"PS_36_2_,Sum_FA_Sum_LPC,Sum_PS"	3	7.465756674
3	SORBI_3003G121600	2.68E-09	"PS_36_2_,Sum_FA_Sum_LPC,Sum_PS"	3	8.571407979
3	SORBI_3003G121700	2.68E-09	"PS_36_2_,Sum_FA_Sum_LPC,Sum_PS"	3	8.571407979
3	SORBI_3003G128200	5.05E-09	"FA_22_1_,PS_36_2_,Sum_PS"	3	8.296470556
3	SORBI_3003G128300	5.05E-09	"FA_22_1_,PS_36_2_,Sum_PS"	3	8.296470556
3	SORBI_3003G128350	5.05E-09	"FA_22_1_,PS_36_2_,Sum_PS"	3	8.296470556
3	SORBI_3003G129600	6.54E-08	"PC_33_2_,PE_34_1_,PE_36_4_"	3	7.18451058
3	SORBI_3003G136000	6.20E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.207589118
3	SORBI_3003G139366	8.35E-08	"SQDG_32_0_,Sum_Cer_Sum_GalCer,Sum_LPC_Sum_TG"	3	7.078064878
3	SORBI_3003G140900	6.95E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.15787262
3	SORBI_3003G141000	6.95E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.15787262
3	SORBI_3003G141600	6.36E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.196734672
3	SORBI_3003G145400	5.94E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.226040822
3	SORBI_3003G145500	5.94E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.226040822
3	SORBI_3003G145600	5.94E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.226040822
3	SORBI_3003G145700	2.54E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.59490681
3	SORBI_3003G145800	2.55E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.593117969
3	SORBI_3003G146400	2.50E-09	"Sum_AEG_Sum_GalCer,Sum_Cer_Sum_GalCer,Sum_DGDG_Sum_GalCer"	3	8.602482157
3	SORBI_3003G146700	6.59E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.180923512
3	SORBI_3003G146800	6.59E-08	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	7.180923512
3	SORBI_3003G149300	3.30E-09	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	8.481170193
3	SORBI_3003G149400	3.30E-09	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	8.481170193
3	SORBI_3003G149500	3.30E-09	"Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG"	3	8.481170193
