Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number			Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
1	SORBI_3001G028500	PC(18:2_20:4);TG(12:0_18:2_18:3);TG(18:1_18:2_18:2)	96;92;13	SNP_2236142;SNP_2231342;SNP_2236142	9.481062e-12;2.874986e-09;8.19788e-09	3			3	SORBI_3003G240800	DG(8:0_8:0)	47	SNP_57971823	5.67E-08	1
1	SORBI_3001G028600	PC(18:2_20:4);TG(12:0_18:2_18:3);TG(18:1_18:2_18:2)	96;91;13	SNP_2236142;SNP_2236142;SNP_2236142	9.481062e-12;2.874986e-09;8.19788e-09	3			4	SORBI_3004G111000	DG(8:0_8:0)	19	SNP_10875951	6.43E-08	1
1	SORBI_3001G032000	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	44;38;43	SNP_2425829;SNP_2425164;SNP_2425164	7.056992e-08;1.550917e-08;9.129917e-08	3			4	SORBI_3004G142400	DG(8:0_8:0)	11	SNP_42115955	7.51E-08	1
1	SORBI_3001G032100	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	56;53;49	SNP_2432777;SNP_2432777;SNP_2432777	7.056992e-08;1.550917e-08;9.129917e-08	3			4	SORBI_3004G169200	DG(8:0_8:0)	7	SNP_51994177	5.84E-08	1
1	SORBI_3001G032200	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	72;72;67	SNP_2435341;SNP_2435341;SNP_2435341	7.056992e-08;1.550917e-08;9.129917e-08	3			4	SORBI_3004G215200	DG(8:0_8:0)	8	SNP_56514448	3.38E-08	1
1	SORBI_3001G039100	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	222;71;31	SNP_2904855;SNP_2912947;SNP_2910090	1.277556e-09;5.3558e-08;3.585806e-08	3			4	SORBI_3004G215300	DG(8:0_8:0)	12	SNP_56535138	3.38E-08	1
1	SORBI_3001G039200	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	148;73;33	SNP_2910612;SNP_2912947;SNP_2911325	1.277556e-09;5.3558e-08;3.585806e-08	3			4	SORBI_3004G215400	DG(8:0_8:0)	16	SNP_56535138	3.38E-08	1
1	SORBI_3001G039300	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	113;107;55	SNP_2920107;SNP_2920107;SNP_2922488	1.880708e-09;5.3558e-08;3.585806e-08	3			4	SORBI_3004G215500	DG(8:0_8:0)	22	SNP_56535138	2.78E-08	1
1	SORBI_3001G041900	TG(16:1_20:1_20:2);TG(18:1_18:2_22:0);TG(18:2_18:3_20:3)	84;84;85	SNP_3113333;SNP_3113333;SNP_3113333	1.195313e-08;4.174218e-08;8.405397e-09	3			4	SORBI_3004G215600	DG(8:0_8:0)	49	SNP_56535138	2.78E-08	1
1	SORBI_3001G042000	TG(16:1_20:1_20:2);TG(18:1_18:2_22:0);TG(18:2_18:3_20:3)	82;82;83	SNP_3118255;SNP_3118255;SNP_3118255	1.195313e-08;4.174218e-08;8.405397e-09	3			4	SORBI_3004G215650	DG(8:0_8:0)	39	SNP_56547824	2.78E-08	1
1	SORBI_3001G042100	TG(16:1_20:1_20:2);TG(18:1_18:2_22:0);TG(18:2_18:3_20:3)	78;78;79	SNP_3123744;SNP_3123744;SNP_3123744	1.195313e-08;4.174218e-08;8.405397e-09	3			4	SORBI_3004G215700	DG(8:0_8:0)	39	SNP_56547824	2.78E-08	1
1	SORBI_3001G042200	TG(16:1_20:1_20:2);TG(18:1_18:2_22:0);TG(18:2_18:3_20:3)	86;86;94	SNP_3132129;SNP_3132129;SNP_3132129	1.127564e-09;5.809281e-09;2.969696e-09	3			4	SORBI_3004G215800	DG(8:0_8:0)	42	SNP_56555005	1.11E-08	1
1	SORBI_3001G042901	TG(16:1_20:1_20:2);TG(18:1_18:2_22:0);TG(18:2_18:3_20:3)	29;18;19	SNP_3209810;SNP_3209810;SNP_3209810	4.757294e-08;5.02489e-08;2.198072e-08	3			4	SORBI_3004G215900	DG(8:0_8:0)	62	SNP_56559721	1.11E-08	1
1	SORBI_3001G043000	TG(16:1_20:1_20:2);TG(18:1_18:2_22:0);TG(18:2_18:3_20:3)	30;17;18	SNP_3212744;SNP_3212744;SNP_3212744	4.757294e-08;5.02489e-08;2.198072e-08	3			4	SORBI_3004G216001	DG(8:0_8:0)	43	SNP_56566230	1.11E-08	1
1	SORBI_3001G043100	TG(16:1_20:1_20:2);TG(18:1_18:2_22:0);TG(18:2_18:3_20:3)	25;11;12	SNP_3215964;SNP_3215964;SNP_3215964	4.757294e-08;5.02489e-08;2.198072e-08	3			4	SORBI_3004G216100	DG(8:0_8:0)	36	SNP_56579142	1.11E-08	1
1	SORBI_3001G055700	PC(18:1_20:4);PC(18:2_20:4);TG(18:1_18:2_18:2)	22;40;67	SNP_4142688;SNP_4142647;SNP_4142647	3.408022e-09;1.270089e-13;7.364082e-09	3			4	SORBI_3004G216200	DG(8:0_8:0)	30	SNP_56581504	1.96E-08	1
1	SORBI_3001G101500	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	63;83;87	SNP_7734226;SNP_7734144;SNP_7734144	6.697644e-09;1.268268e-08;1.39584e-08	3			4	SORBI_3004G216300	DG(8:0_8:0)	18	SNP_56587376	1.96E-08	1
1	SORBI_3001G115400	TG(14:0_18:3_18:3);TG(18:1_18:1_18:1);TG(18:1_18:1_20:3)	89;1;95	SNP_9001752;SNP_9026523;SNP_9001843	4.032408e-08;1.302029e-09;2.010719e-08	3			4	SORBI_3004G235500	DG(8:0_8:0)	20	SNP_58326514	1.88E-08	1
1	SORBI_3001G115500	TG(14:0_18:3_18:3);TG(18:1_18:1_18:1);TG(18:1_18:1_20:3)	66;1;74	SNP_9005294;SNP_9026523;SNP_9005294	4.032408e-08;1.302029e-09;2.010719e-08	3			4	SORBI_3004G235600	DG(8:0_8:0)	24	SNP_58333378	1.88E-08	1
1	SORBI_3001G115600	TG(14:0_18:3_18:3);TG(18:1_18:1_18:1);TG(18:1_18:1_20:3)	38;1;32	SNP_9016046;SNP_9026523;SNP_9016046	4.032408e-08;1.302029e-09;2.010719e-08	3			4	SORBI_3004G235700	DG(8:0_8:0)	24	SNP_58336182	1.88E-08	1
1	SORBI_3001G115700	TG(14:0_18:3_18:3);TG(18:1_18:1_18:1);TG(18:1_18:1_20:3)	42;3;40	SNP_9020993;SNP_9026523;SNP_9022825	4.032408e-08;1.302029e-09;2.010719e-08	3			4	SORBI_3004G235750	DG(8:0_8:0)	25	SNP_58338101	1.88E-08	1
1	SORBI_3001G115800	TG(14:0_18:3_18:3);TG(18:1_18:1_18:1);TG(18:1_18:1_20:3)	31;3;35	SNP_9025964;SNP_9026523;SNP_9025964	4.032408e-08;1.302029e-09;2.010719e-08	3			4	SORBI_3004G235801	DG(8:0_8:0)	32	SNP_58345941	1.88E-08	1
1	SORBI_3001G115900	TG(14:0_18:3_18:3);TG(18:1_18:1_18:1);TG(18:1_18:1_20:3)	31;3;35	SNP_9026495;SNP_9026523;SNP_9026495	4.032408e-08;1.302029e-09;2.010719e-08	3			5	SORBI_3005G080025	DG(8:0_8:0)	18	SNP_10524025	4.98E-08	1
1	SORBI_3001G127800	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	38;37;51	SNP_10055257;SNP_10055257;SNP_10055257	1.971493e-09;3.538614e-08;6.794453e-10	3			5	SORBI_3005G090000	DG(8:0_8:0)	28	SNP_12977289	2.16E-08	1
1	SORBI_3001G128000	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	12;15;122	SNP_10072813;SNP_10071575;SNP_10071633	1.971493e-09;3.538614e-08;6.794453e-10	3			5	SORBI_3005G090500	DG(8:0_8:0)	44	SNP_13178731	9.75E-08	1
1	SORBI_3001G128100	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	13;15;124	SNP_10072813;SNP_10072813;SNP_10072813	1.971493e-09;3.538614e-08;6.794453e-10	3			5	SORBI_3005G090600	DG(8:0_8:0)	27	SNP_13314200	4.66E-08	1
1	SORBI_3001G128200	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	10;12;118	SNP_10080865;SNP_10080865;SNP_10080987	1.971493e-09;3.538614e-08;6.794453e-10	3			8	SORBI_3008G056200	DG(8:0_8:0)	17	SNP_5844512	8.33E-08	1
1	SORBI_3001G128300	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	162;142;185	SNP_10084499;SNP_10084499;SNP_10084499	1.971493e-09;3.538614e-08;6.794453e-10	3			8	SORBI_3008G056350	DG(8:0_8:0)	16	SNP_5847870	8.33E-08	1
1	SORBI_3001G173800	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	17;18;19	SNP_14599541;SNP_14599541;SNP_14599541	5.628635e-09;1.720877e-09;3.870557e-09	3			1	SORBI_3001G516100	DGDG(18:2_18:3)	10	SNP_78265026	1.56E-08	1
1	SORBI_3001G183100	PC(18:2_20:4);TG(14:0_18:3_18:3);TG(18:2_20:3_22:0)	15;24;20	SNP_15506281;SNP_15506281;SNP_15506281	7.950249e-08;3.307297e-08;1.915263e-09	3			1	SORBI_3001G516200	DGDG(18:2_18:3)	15	SNP_78285479	1.56E-08	1
1	SORBI_3001G186100	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	30;22;31	SNP_15905980;SNP_15906696;SNP_15905980	1.27878e-10;8.504244e-09;5.432066e-10	3			2	SORBI_3002G079801	DGDG(18:2_18:3)	8	SNP_8423330	1.51E-08	1
1	SORBI_3001G186200	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	28;21;29	SNP_15911606;SNP_15911606;SNP_15911606	1.27878e-10;8.504244e-09;5.432066e-10	3			2	SORBI_3002G079900	DGDG(18:2_18:3)	9	SNP_8423330	1.51E-08	1
1	SORBI_3001G186300	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	19;20;18	SNP_15923685;SNP_15923685;SNP_15923685	1.27878e-10;8.504244e-09;5.432066e-10	3			2	SORBI_3002G080000	DGDG(18:2_18:3)	9	SNP_8423330	1.51E-08	1
1	SORBI_3001G194401	PC(16:0_22:6);PC(18:3_0:0);TG(18:1_18:2_22:0)	62;60;89	SNP_17379453;SNP_17379453;SNP_17379453	8.961614e-09;1.438821e-08;1.820127e-08	3			2	SORBI_3002G080100	DGDG(18:2_18:3)	13	SNP_8423330	1.51E-08	1
1	SORBI_3001G212451	DG(8:0_8:0);PC(18:2_20:4);SM(d18:1_17:0)	44;67;66	SNP_19584386;SNP_19584386;SNP_19584386	3.076687e-08;8.089611e-11;3.938255e-09	3			2	SORBI_3002G321500	DGDG(18:2_18:3)	37	SNP_69327337	1.38E-08	1
1	SORBI_3001G213300	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	26;31;46	SNP_19692784;SNP_19692784;SNP_19692784	1.633391e-08;9.219648e-09;2.66193e-11	3			2	SORBI_3002G321600	DGDG(18:2_18:3)	39	SNP_69327337	1.38E-08	1
1	SORBI_3001G219200	PC(18:0_20:4);TG(12:0_18:1_18:3);TG(12:0_18:2_18:3)	20;28;26	SNP_20421235;SNP_20414337;SNP_20414337	4.514519e-11;3.381226e-08;3.206333e-12	3			2	SORBI_3002G321700	DGDG(18:2_18:3)	39	SNP_69327337	1.38E-08	1
1	SORBI_3001G223900	TG(14:0_14:0_16:1);TG(14:0_16:1_22:6);TG(16:0_18:1_20:0)	73;50;63	SNP_21440629;SNP_21440629;SNP_21440629	1.47268e-08;2.485478e-08;1.315559e-08	3			2	SORBI_3002G321800	DGDG(18:2_18:3)	40	SNP_69335013	1.38E-08	1
1	SORBI_3001G224000	TG(14:0_14:0_16:1);TG(14:0_16:1_22:6);TG(16:0_18:1_20:0)	68;44;60	SNP_21443472;SNP_21443472;SNP_21443472	1.47268e-08;2.485478e-08;1.315559e-08	3			2	SORBI_3002G321901	DGDG(18:2_18:3)	40	SNP_69335013	1.38E-08	1
1	SORBI_3001G231400	PC(16:0_22:6);PC(18:0_20:4);PC(18:3_0:0)	160;64;163	SNP_22329729;SNP_22329867;SNP_22329729	1.208403e-08;5.916574e-08;1.827148e-08	3			2	SORBI_3002G322000	DGDG(18:2_18:3)	40	SNP_69335013	1.38E-08	1
1	SORBI_3001G231500	PC(16:0_22:6);PC(18:0_20:4);PC(18:3_0:0)	180;84;184	SNP_22330525;SNP_22330535;SNP_22330525	1.208403e-08;5.916574e-08;1.827148e-08	3			3	SORBI_3003G162900	DGDG(18:2_18:3)	24	SNP_20049983	4.12E-08	1
1	SORBI_3001G231600	PC(16:0_22:6);PC(18:0_20:4);PC(18:3_0:0)	319;227;324	SNP_22340251;SNP_22342424;SNP_22340251	1.208403e-08;5.916574e-08;1.827148e-08	3			3	SORBI_3003G163000	DGDG(18:2_18:3)	15	SNP_20057771	4.12E-08	1
1	SORBI_3001G231700	PC(16:0_22:6);PC(18:0_20:4);PC(18:3_0:0)	446;386;451	SNP_22344941;SNP_22347809;SNP_22344941	1.208403e-08;5.916574e-08;1.827148e-08	3			1	SORBI_3001G311000	DGDG(18:2_18:4)	282	SNP_59784115	7.23E-08	1
1	SORBI_3001G256700	MGDG(16:0_18:1);PC(18:2_20:4);SQDG(16:0_18:1)	28;62;22	SNP_29933259;SNP_29933247;SNP_29933247	5.48221e-08;3.590606e-08;2.893546e-08	3			1	SORBI_3001G202266	DGTS(34:5)	89	SNP_18389436	5.63E-09	1
1	SORBI_3001G261444	PC(18:2_20:4);SQDG(16:0_18:1);TG(14:0_18:2_18:3)	27;27;32	SNP_34363076;SNP_34362801;SNP_34368779	8.030592e-12;5.550654e-08;9.046688e-08	3			1	SORBI_3001G202400	DGTS(34:5)	34	SNP_18399849	5.63E-09	1
1	SORBI_3001G261900	Cer(24:1);TG(12:0_18:1_18:3);TG(12:0_18:2_18:3)	14;16;33	SNP_46057851;SNP_46058304;SNP_46057986	7.855638e-08;4.945682e-11;4.134661e-14	3			1	SORBI_3001G202450	DGTS(34:5)	28	SNP_18403971	5.63E-09	1
1	SORBI_3001G311500	PC(14:0_18:2);PE(16:0_18:2);PE(16:0_18:3)	81;61;64	SNP_59821340;SNP_59821340;SNP_59821081	1.09987e-09;5.449951e-08;4.924598e-08	3			1	SORBI_3001G202500	DGTS(34:5)	77	SNP_18405228	5.63E-09	1
1	SORBI_3001G311601	PC(14:0_18:2);PE(16:0_18:2);PE(16:0_18:3)	88;57;60	SNP_59831271;SNP_59831271;SNP_59831144	1.09987e-09;5.449951e-08;4.924598e-08	3			1	SORBI_3001G202550	DGTS(34:5)	67	SNP_18406227	5.63E-09	1
1	SORBI_3001G361600	PC(16:1_20:5);TG(18:0_18:2_20:1);TG(18:1_18:2_18:3)	23;29;29	SNP_65115335;SNP_65115335;SNP_65115335	8.358179e-08;4.183721e-08;4.183729e-08	3			1	SORBI_3001G482300	DGTS(34:5)	26	SNP_75403016	2.04E-08	1
1	SORBI_3001G361700	PC(16:1_20:5);TG(18:0_18:2_20:1);TG(18:1_18:2_18:3)	29;24;24	SNP_65134109;SNP_65133264;SNP_65133264	8.358179e-08;4.183721e-08;4.183729e-08	3			1	SORBI_3001G482500	DGTS(34:5)	35	SNP_75403016	2.04E-08	1
1	SORBI_3001G361750	PC(16:1_20:5);TG(18:0_18:2_20:1);TG(18:1_18:2_18:3)	27;21;21	SNP_65136486;SNP_65136331;SNP_65136331	8.358179e-08;4.183721e-08;4.183729e-08	3			1	SORBI_3001G482600	DGTS(34:5)	36	SNP_75403698	2.04E-08	1
1	SORBI_3001G376200	TG(12:0_18:1_18:3);TG(12:0_18:2_18:3);TG(18:2_20:3_22:0)	14;14;3	SNP_66463859;SNP_66463859;SNP_66481296	5.693865e-08;5.483007e-08;5.807073e-08	3			1	SORBI_3001G482700	DGTS(34:5)	29	SNP_75411012	2.04E-08	1
1	SORBI_3001G384200	PC(16:0_20:3);PC(18:1_24:1);PE(16:0_18:1)	68;101;109	SNP_67150295;SNP_67150295;SNP_67150295	4.816626e-08;3.265054e-09;2.333871e-08	3			1	SORBI_3001G493200	DGTS(34:5)	81	SNP_76216291	7.99E-08	1
2	SORBI_3002G084100	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	34;34;61	SNP_8966301;SNP_8966301;SNP_8971794	8.73492e-08;4.935615e-08;2.888715e-08	3			1	SORBI_3001G493300	DGTS(34:5)	78	SNP_76236878	7.99E-08	1
2	SORBI_3002G084200	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	23;6;11	SNP_8989026;SNP_8988996;SNP_8988996	8.73492e-08;4.935615e-08;6.670605e-08	3			1	SORBI_3001G493400	DGTS(34:5)	81	SNP_76240922	7.99E-08	1
2	SORBI_3002G084300	PC(18:2_20:4);TG(14:0_18:2_18:3);TG(14:0_18:3_18:3)	19;4;15	SNP_8990892;SNP_8991360;SNP_8990892	8.73492e-08;4.935615e-08;6.670605e-08	3			2	SORBI_3002G329500	DGTS(34:5)	32	SNP_69840140	5.72E-08	1
2	SORBI_3002G094000	PC(18:0_20:4);TG(12:0_18:1_18:3);TG(12:0_18:2_18:3)	167;199;119	SNP_9741203;SNP_9746286;SNP_9741585	7.232103e-08;5.038741e-08;3.522592e-08	3			2	SORBI_3002G329600	DGTS(34:5)	52	SNP_69858781	5.72E-08	1
2	SORBI_3002G101300	PC(18:2_20:4);SQDG(16:0_18:1);TG(18:2_18:2_22:1)	67;23;181	SNP_11445370;SNP_11445370;SNP_11442131	1.419418e-09;6.541613e-09;3.027669e-08	3			2	SORBI_3002G329700	DGTS(34:5)	63	SNP_69858781	5.72E-08	1
2	SORBI_3002G114000	PC(16:1_20:5);PC(18:2_20:4);TG(18:2_20:3_22:0)	25;45;42	SNP_13923893;SNP_13923745;SNP_13923745	7.351137e-09;1.880395e-08;5.571231e-08	3			2	SORBI_3002G329800	DGTS(34:5)	63	SNP_69858781	5.72E-08	1
2	SORBI_3002G114100	PC(16:1_20:5);PC(18:2_20:4);TG(18:2_20:3_22:0)	29;55;59	SNP_13931290;SNP_13930863;SNP_13931167	7.351137e-09;1.880395e-08;5.571231e-08	3			2	SORBI_3002G349900	DGTS(34:5)	40	SNP_71423002	4.21E-08	1
2	SORBI_3002G114150	PC(16:1_20:5);PC(18:2_20:4);TG(18:2_20:3_22:0)	33;60;74	SNP_13934249;SNP_13934617;SNP_13934268	7.351137e-09;1.880395e-08;5.571231e-08	3			2	SORBI_3002G350000	DGTS(34:5)	25	SNP_71425867	4.21E-08	1
2	SORBI_3002G114700	TG(18:2_18:2_18:4);TG(18:2_20:2_22:2);TG(18:3_18:3_18:3)	64;57;61	SNP_13987486;SNP_13987486;SNP_13987552	6.94832e-08;3.601268e-10;6.186118e-08	3			2	SORBI_3002G350100	DGTS(34:5)	20	SNP_71442035	4.21E-08	1
2	SORBI_3002G114900	PC(16:1_20:5);PC(18:2_20:4);TG(18:1_18:2_18:2)	33;77;73	SNP_14060452;SNP_14058338;SNP_14058338	2.359704e-09;2.595338e-11;6.841902e-09	3			3	SORBI_3003G166300	DGTS(34:5)	37	SNP_25209764	7.90E-08	1
2	SORBI_3002G115000	PC(18:2_20:4);TG(18:1_18:2_18:2);TG(18:3_18:3_18:3)	76;76;87	SNP_14101815;SNP_14101815;SNP_14101610	3.910662e-08;1.764512e-08;8.873229e-08	3			3	SORBI_3003G166625	DGTS(34:5)	31	SNP_25772697	2.97E-09	1
2	SORBI_3002G115025	PC(18:2_20:4);TG(18:1_18:2_18:2);TG(18:3_18:3_18:3)	69;69;64	SNP_14105126;SNP_14105126;SNP_14106038	3.910662e-08;1.764512e-08;8.873229e-08	3			3	SORBI_3003G166750	DGTS(34:5)	57	SNP_25883452	2.69E-09	1
2	SORBI_3002G115050	PC(18:2_20:4);TG(18:1_18:2_18:2);TG(18:3_18:3_18:3)	146;150;147	SNP_14120151;SNP_14120151;SNP_14120779	3.910662e-08;1.764512e-08;4.214345e-08	3			3	SORBI_3003G167000	DGTS(34:5)	23	SNP_26243580	5.51E-10	1
2	SORBI_3002G115400	PC(16:1_20:5);TG(18:1_18:2_18:2);TG(18:3_18:3_18:3)	112;107;101	SNP_14155620;SNP_14155620;SNP_14155620	4.55656e-08;3.573113e-08;4.32869e-08	3			3	SORBI_3003G167101	DGTS(34:5)	30	SNP_26550855	2.36E-10	1
2	SORBI_3002G115801	TG(18:2_18:2_18:4);TG(18:2_20:2_22:2);TG(18:3_18:3_18:3)	46;45;45	SNP_14254110;SNP_14254110;SNP_14254110	1.508284e-08;1.737336e-09;4.022981e-09	3			3	SORBI_3003G167200	DGTS(34:5)	33	SNP_26635454	4.22E-09	1
2	SORBI_3002G115900	TG(18:2_18:2_18:4);TG(18:2_20:2_22:2);TG(18:3_18:3_18:3)	70;64;66	SNP_14254110;SNP_14254110;SNP_14254110	1.508284e-08;1.737336e-09;4.022981e-09	3			3	SORBI_3003G167300	DGTS(34:5)	24	SNP_26949673	7.59E-09	1
2	SORBI_3002G116500	PC(18:2_20:4);SQDG(16:0_18:1);TG(18:1_18:2_18:2)	58;43;84	SNP_14385322;SNP_14388470;SNP_14385322	6.668363e-09;3.761405e-09;4.039722e-08	3			3	SORBI_3003G194600	DGTS(34:5)	27	SNP_51808459	2.01E-08	1
2	SORBI_3002G153100	PC(14:0_18:3);PC(16:0_20:1);PC(16:2_16:1)	10;56;10	SNP_45776435;SNP_45749676;SNP_45750111	2.976576e-19;3.576956e-15;2.123132e-09	3			3	SORBI_3003G194800	DGTS(34:5)	32	SNP_51817693	2.01E-08	1
2	SORBI_3002G153200	PC(14:0_18:3);PC(16:0_20:1);PC(16:2_16:1)	10;57;8	SNP_45776435;SNP_45770777;SNP_45776435	2.976576e-19;3.576956e-15;2.123132e-09	3			3	SORBI_3003G194900	DGTS(34:5)	30	SNP_51825549	2.01E-08	1
2	SORBI_3002G253600	PC(18:0_20:4);PC(18:2_20:4);TG(12:0_18:2_18:3)	110;125;123	SNP_63963666;SNP_63956780;SNP_63957427	9.443581e-11;7.7681e-10;1.215832e-10	3			3	SORBI_3003G373100	DGTS(34:5)	25	SNP_68843959	2.29E-08	1
2	SORBI_3002G253800	PC(18:0_20:4);PC(18:2_20:4);TG(12:0_18:2_18:3)	79;88;104	SNP_63980718;SNP_63977741;SNP_63980802	7.504938e-08;7.7681e-10;4.696189e-10	3			3	SORBI_3003G373150	DGTS(34:5)	24	SNP_68861704	2.29E-08	1
2	SORBI_3002G373700	PC(18:2_20:4);TG(12:0_18:2_18:3);TG(18:1_18:2_18:2)	139;174;6	SNP_73165739;SNP_73153131;SNP_73171035	1.879625e-08;3.271079e-08;6.239521e-09	3			3	SORBI_3003G373200	DGTS(34:5)	65	SNP_68861704	2.29E-08	1
2	SORBI_3002G373800	PC(18:2_20:4);TG(12:0_18:2_18:3);TG(18:1_18:2_18:2)	140;174;6	SNP_73165739;SNP_73156715;SNP_73171035	1.879625e-08;3.271079e-08;6.239521e-09	3			3	SORBI_3003G373300	DGTS(34:5)	88	SNP_68861704	2.29E-08	1
2	SORBI_3002G373900	PC(18:2_20:4);TG(12:0_18:2_18:3);TG(18:1_18:2_18:2)	141;170;6	SNP_73165739;SNP_73164086;SNP_73171035	1.879625e-08;3.271079e-08;6.239521e-09	3			3	SORBI_3003G373500	DGTS(34:5)	174	SNP_68861704	2.29E-08	1
2	SORBI_3002G373950	PC(18:2_20:4);TG(12:0_18:2_18:3);TG(18:1_18:2_18:2)	140;173;9	SNP_73167478;SNP_73167669;SNP_73171035	1.879625e-08;3.271079e-08;6.239521e-09	3			3	SORBI_3003G374100	DGTS(34:5)	31	SNP_68907570	4.44E-08	1
2	SORBI_3002G374200	TG(18:2_18:2_18:4);TG(18:2_20:2_22:2);TG(18:3_18:3_18:3)	10;8;7	SNP_73193284;SNP_73192800;SNP_73193392	3.360399e-08;9.966807e-08;8.044503e-08	3			3	SORBI_3003G374150	DGTS(34:5)	23	SNP_68909666	4.44E-08	1
2	SORBI_3002G374300	TG(18:2_18:2_18:4);TG(18:2_20:2_22:2);TG(18:3_18:3_18:3)	6;7;5	SNP_73197113;SNP_73197113;SNP_73197113	3.360399e-08;9.966807e-08;8.044503e-08	3			3	SORBI_3003G374200	DGTS(34:5)	24	SNP_68926850	4.44E-08	1
2	SORBI_3002G374400	TG(18:2_18:2_18:4);TG(18:2_20:2_22:2);TG(18:3_18:3_18:3)	4;8;4	SNP_73218036;SNP_73218036;SNP_73218036	7.518238e-08;9.966807e-08;8.044503e-08	3			3	SORBI_3003G374300	DGTS(34:5)	19	SNP_68930922	4.44E-08	1
2	SORBI_3002G393000	TG(18:2_18:2_18:4);TG(18:2_20:3_22:0);TG(18:3_18:3_18:3)	14;24;13	SNP_74574893;SNP_74577139;SNP_74574893	7.285745e-08;1.045556e-10;7.901272e-08	3			3	SORBI_3003G374400	DGTS(34:5)	33	SNP_68936781	7.72E-08	1
3	SORBI_3003G113000	TG(16:1_20:1_20:2);TG(18:1_18:2_22:0);TG(18:2_18:3_20:3)	63;49;47	SNP_10124379;SNP_10124379;SNP_10124379	2.902343e-09;3.87971e-10;1.657581e-08	3			3	SORBI_3003G376000	DGTS(34:5)	59	SNP_69048917	2.13E-08	1
3	SORBI_3003G113100	TG(16:1_20:1_20:2);TG(18:1_18:2_22:0);TG(18:2_18:3_20:3)	88;78;72	SNP_10136875;SNP_10136875;SNP_10136875	2.902343e-09;3.87971e-10;1.657581e-08	3			3	SORBI_3003G376100	DGTS(34:5)	79	SNP_69056268	2.13E-08	1
3	SORBI_3003G157600	Cer(24:1);SQDG(16:0_18:1);TG(18:2_18:3_22:1)	15;193;16	SNP_17786474;SNP_17791057;SNP_17786488	1.654736e-17;7.528225e-10;1.948271e-08	3			3	SORBI_3003G376200	DGTS(34:5)	75	SNP_69062037	2.13E-08	1
3	SORBI_3003G175950	AEG(o-15:2_15:0);TG(16:1_16:1_22:5);TG(18:1_18:2_18:2)	86;93;89	SNP_44528871;SNP_44528881;SNP_44528881	3.323363e-08;6.890542e-09;1.460947e-10	3			3	SORBI_3003G376300	DGTS(34:5)	75	SNP_69062037	2.13E-08	1
3	SORBI_3003G184500	TG(14:0_18:2_18:3);TG(18:2_20:2_22:2);TG(18:2_20:3_22:0)	27;28;30	SNP_49094529;SNP_49094529;SNP_49094531	3.545026e-08;2.321325e-10;7.896965e-08	3			3	SORBI_3003G376400	DGTS(34:5)	90	SNP_69066943	1.14E-11	1
3	SORBI_3003G201700	PC(18:2_20:4);TG(18:1_18:2_18:2);TG(18:2_20:2_22:2)	11;7;79	SNP_53125720;SNP_53125867;SNP_53100455	5.028235e-09;6.9763e-08;1.445273e-09	3			3	SORBI_3003G376500	DGTS(34:5)	92	SNP_69072369	4.86E-13	1
3	SORBI_3003G203800	DGTS(34:5);PC(18:2_20:4);TG(18:2_18:3_22:1)	144;92;80	SNP_53376915;SNP_53375065;SNP_53374801	1.149669e-10;5.410085e-09;6.185671e-08	3			3	SORBI_3003G376600	DGTS(34:5)	98	SNP_69074322	4.86E-13	1
3	SORBI_3003G203833	DGTS(34:5);PC(18:2_20:4);TG(18:2_18:3_22:1)	131;67;75	SNP_53377783;SNP_53377783;SNP_53382118	1.149669e-10;7.794565e-09;6.185671e-08	3			5	SORBI_3005G068900	DGTS(34:5)	49	SNP_7971522	3.70E-08	1
