,DG(18:3),DG(20:1),DG(24:0),DG(34:1),DG(34:2),DG(34:3),DG(34:4),DG(36:2),DG(36:3),DG(36:4),DG(36:5),DG(36:6),DGDG(34:1),DGDG(34:2),DGDG(34:3),DGDG(36:2),DGDG(36:3),DGDG(36:5),DGDG(36:6),MG(12:0),MG(16:0),MG(18:1),MG(18:2),MG(18:3),MG(20:4),MGDG(34:1),MGDG(34:3),MGDG(36:4),MGDG(36:5),MGDG(36:6),SQDG(30:0),SQDG(32:0),SQDG(34:1),SQDG(34:2),SQDG(34:3),SQDG(34:4),SQDG(36:3),SQDG(36:4),SQDG(36:5),SQDG(36:6),TG(30:0),TG(36:0),TG(38:0),TG(40:0),TG(42:0),TG(42:1),TG(44:0),TG(44:1),TG(46:0),TG(46:1),TG(46:2),TG(46:3),TG(48:0),TG(48:1),TG(48:2),TG(48:3),TG(48:4),TG(48:5),TG(50:1),TG(50:2),TG(50:3),TG(50:4),TG(50:5),TG(50:6),TG(52:1),TG(52:2),TG(52:3),TG(52:4),TG(52:5),TG(52:6),TG(54:1),TG(54:2),TG(54:3),TG(54:4),TG(54:5),TG(54:6),TG(54:7),TG(54:8),TG(54:9),TG(56:1),TG(56:2),TG(56:3),TG(56:4),TG(56:5),TG(56:6),TG(56:8),TG(58:2),TG(58:3),TG(58:4),TG(58:5),TG(60:4),TG(60:5),TG(60:6)
PI533956_control,28079358.97,293967.0031,3033323.08,2678059.497,2197588.062,1437848.592,25832.92365,65294.23359,194161.0409,2038188.165,835438.3083,1469849.38,503074.202,1141056.145,18378731.33,250175.2728,2535685.906,578042.8062,40800228.67,913245.699,661847.9818,1308728.866,262100.2288,3737980.745,145.5347538,63347.16471,10374160.84,3690974.453,8791594.575,155393455.5,20032.77504,2184674.604,85428.33896,261946.1213,7817578.198,63322.95897,351056.6796,165232.9964,390572.9552,4379354.049,6864.356453,131997.4358,83657.56859,35621.38037,57992.58862,2819.743641,31943.63137,7647.91014,16540.55207,25747.27205,18401.47183,6112.666725,56986.91895,14535.29398,11435.68425,9930.210167,3947.931031,12738.17691,71953.02261,201563.7414,121297.4137,16307.03329,13471.87843,6073.655126,31558.44471,239083.4681,952624.9804,682100.6331,1060465.662,791714.428,11844.738,21424.8614,114160.7605,204801.2165,299393.5518,732335.3786,3219299.676,1074913.283,473467.0558,34209.89924,3128.5009,3210.057716,11055.77083,13593.30092,18706.41405,10233.55427,2413.516693,2053.35119,1789.820163,2417.83126,3728.848433,6448.053854,2295.064066
PI533956_lowinput,22583485.27,4743618.337,2903904.095,1936121.547,1831338.329,2995766.306,36478.593,76297.75704,297019.5833,1505432.247,770272.4611,1601218.397,417237.3259,1190812.499,12411404.22,277508.7849,2666613.144,597409.7847,35560222.92,781223.7698,294636.2352,1000788.421,83609.17299,2746016.021,6581.603723,22277.00371,5133844.421,2382392.322,5279846.491,123501369.9,21475.65085,1434261.073,30862.94456,154283.6975,3311347.864,17827.65676,212538.1462,81447.95842,213658.8077,1729265.548,17491.02379,392542.9296,183812.7258,72257.47883,127121.2563,9547.225457,27633.13394,42539.83608,77404.93569,97812.58607,35928.30004,1751.619763,139313.6551,130938.2607,70161.30564,11646.36655,1617.595963,5046.76649,235010.5007,324821.373,147241.9379,10543.63187,7904.746759,5447.399722,70390.89572,396528.2371,660603.9857,757072.1655,1032139.85,918034.6728,22611.892,171563.1126,447734.9621,743645.8065,1509800.863,1249600.216,5424503.657,2619552.905,1369622.757,40461.31555,12392.08844,10792.13083,17141.49545,27016.63498,132062.0599,17174.28066,10676.9403,4699.278513,4684.504631,4288.608221,5246.796672,6446.061118,4777.751663
PI533957_control,22717286.44,352099.079,3050655.644,3411767.742,3603913.192,2273277.156,60539.66593,121881.6895,255491.7861,3444793.287,1469850.053,2299707.511,902890.6805,2220286.424,22234878.51,406435.3806,3715511.196,1204808.258,47784776.95,1177603.467,821689.1227,1505196.85,353785.1162,4459959.36,806.3756461,99915.50841,12612329.91,5434069.526,17406675.35,157189175.7,27617.278,2778719.566,133226.3604,389668.1991,9214516.607,84889.09992,470422.3583,242149.567,638006.0562,5200023.166,13207.4406,419491.6441,207243.5444,104006.964,163378.5451,8235.514614,32701.62525,14352.20272,37959.41013,44100.15756,29474.0574,6166.709796,102578.9438,70141.03642,33219.1905,14812.20511,4266.820683,18209.4025,109904.0938,339917.4701,174314.9326,19304.71047,13642.11192,5604.319964,55116.85491,328167.5875,706443.8926,962978.5858,1295420.251,811564.6413,24785.3862,27394.3741,156046.5574,351722.4134,458244.7583,1029371.311,4389811.541,1626837.199,683285.4243,57657.23541,11157.32726,4642.847538,22280.84406,17833.98922,34772.23739,14218.47947,5005.334941,3545.596921,3119.920607,2218.310993,3686.352821,8072.460299,3529.631451
PI533957_lowinput,20843247.13,3782531.11,2410766.659,1540841.443,1897648.194,3287361.804,48429.5017,82713.49558,297531.7118,1488440.661,870849.9852,1943440.179,414741.2177,1396214.241,12120372.66,379355.5431,2963270.279,942775.3279,33224707.49,621640.1553,293546.3028,817745.0552,90820.20824,2565223.714,8339.781677,40122.35144,4838127.196,2322123.121,5842488.981,113240857,17193.65962,1317740.549,36553.63404,263799.4716,3028811.104,21396.85671,232135.8167,96571.20946,277969.09,1378437.129,25365.81732,185693.2957,85140.25139,35960.68059,60898.46489,3058.610415,10684.20555,13130.41522,39529.03395,36028.5841,15933.31116,1283.599975,71064.78875,63162.11779,34190.6151,3633.540266,825.0901567,3728.547626,102441.6538,186128.2162,108788.3193,12610.86111,9077.415329,5182.240725,37737.15632,165814.5858,425025.659,915408.4439,1559204.322,1486299.224,10593.9253,81781.98575,263137.8926,745794.3099,1519827.054,1800275.096,8247899.542,5544917.86,2951581.891,85932.63421,6391.243116,4928.640403,21557.82951,18478.19017,164219.314,28795.77089,4871.383904,2677.185915,2725.175662,2084.476099,3799.12485,4657.037458,3562.686456
PI533961_control,31770177.89,346190.1278,2820697.65,4241893.761,4207993.981,3568693.987,82330.39809,129715.6707,273308.2357,3877262.935,1581153.469,2806733.724,1001043.113,2638912.412,26789927.24,412757.6202,4144029.26,1223202.413,51869525.39,1185006.4,974138.6601,1426548.266,425879.2666,4288773.012,5442.12516,98072.35705,15207275.64,5570832.926,16178389.1,173393042.3,49524.2758,4505211.416,173304.0079,351089.878,12655530.57,109851.5552,584714.3181,317457.1563,730000.8897,6434602.606,25405.31092,514523.2945,276767.2096,87862.10376,172723.1936,3161.04183,51856.00459,19787.69092,34314.34789,46193.60534,28057.91589,23331.22462,126040.1737,41093.02993,27858.40824,26243.66733,9680.320533,54873.1542,132817.9275,463536.1023,291500.9692,25758.35436,26798.04909,15496.76465,76060.28242,485657.958,876771.964,987317.7738,1522078.727,1144147.264,31891.90713,50141.20361,257342.5525,394104.5339,467037.2774,710421.4202,2972287.925,1210328.071,658175.5512,16680.49485,9042.248935,9248.939437,21621.6737,32891.04142,33141.62829,12804.43979,7604.713702,7841.944549,7515.346758,7525.51186,11564.15523,15049.05936,9231.692778
PI533961_lowinput,26201091.36,4217773.716,2536127.322,2438865.548,2275381.2,3749880.327,42517.24581,103311.6501,401328.7646,2010773.993,1024706.292,2183236.791,513274.8661,1377306.581,15922244.7,296773.0525,3482707.192,984555.8114,43165496.55,860509.1155,382824.663,969571.4677,111788.043,3332772.413,5798.176708,38507.02363,7367834.239,3210319.329,8024038.982,143182366,15724.96932,1699841.305,35180.65098,179011.1045,4175045.669,27660.73635,253289.4035,111981.0736,318267.0006,1941167.753,26922.44586,491833.003,163041.5936,81139.59315,129665.1191,11447.50438,33278.7784,14667.98288,85589.10552,91107.40748,35326.74146,4442.852772,140817.9795,137214.3408,66126.43311,12526.22381,3425.604057,10492.60201,247958.2337,375670.7199,187116.0743,31421.42655,22377.61178,12409.51218,84455.72484,377555.1596,758706.1935,1539254.779,2375266.84,1911334.281,27176.76946,265696.1305,871368.9452,1837347.822,3832554.555,3158612.079,10172487.75,7506791.952,3745960.412,57288.16544,27824.32745,14550.44602,58784.76386,41254.63258,289768.8762,36221.16947,22932.63938,9640.843611,9626.476411,7315.799205,8333.293202,10726.42882,7029.168636
PI533962_control,16999906.62,234044.8612,2944399.816,1972613.69,1891374.914,947500.4067,19684.63019,62110.31262,242068.035,1972555.4,530012.1653,988407.8054,514127.9472,1120647.114,10764242.36,196358.2255,1446053.527,419231.2555,24111973.27,694677.6802,487991.7119,1002962.663,206964.3407,2411274.919,154.9724756,68487.00802,6195179.899,2527415.857,5151141.182,98268215.3,14113.90617,1482607.036,78718.51232,229585.0112,4288820.969,36466.52375,184946.1392,123809.2189,255463.8997,2294777.1,19112.39363,376858.1394,261717.4249,75998.61089,122791.5122,5704.964745,35082.04042,15681.59125,21360.05181,23963.15125,14350.49529,5639.733605,53091.88966,14863.61782,12516.29634,9875.137029,4409.608365,11938.30215,52055.80147,151191.6179,74429.19708,10372.44186,7681.651909,4934.290147,23534.33106,147676.3326,402354.5425,369251.842,495866.0694,362829.8446,10238.04881,12598.79805,94963.51448,129596.3513,161724.1203,395187.8887,1403174.778,473592.0384,206170.2997,11683.24324,2785.22604,2503.568077,7198.082558,9141.373504,11329.77537,4472.959119,1781.897621,1526.651082,1258.345072,1443.900423,2089.970626,3830.535143,2049.276432
PI533962_lowinput,24464608.82,3879208.774,2502218.232,1645044.196,2209510.971,3741967.233,81287.56354,82303.20497,362374.2805,1856314.837,1071862.744,2516978.396,373405.1943,1091450.415,12481501.97,258906.6897,3308188.323,805886.7025,39018492.69,693751.0851,314067.5195,892930.0449,101264.7042,3043493.414,12914.73723,19056.31867,5002236.066,2276089.798,5588215.94,130724233.9,16499.21707,1245782.159,23669.1499,170234.575,3269611.264,20052.41456,259673.6555,102716.4512,301711.9358,1861679.892,36334.28809,278914.5733,145133.334,59601.91797,96700.14636,3254.329912,18975.30025,12855.63291,56796.51195,59579.13297,22086.34634,2211.399867,94410.56248,94488.91399,47748.92541,9408.95176,1369.30938,15371.67412,138690.0143,237787.1078,114475.198,13943.69024,10434.779,7174.234086,50816.27516,235351.6899,486880.1779,916065.1798,1346932.347,1262602.454,19240.18307,121667.797,434503.6175,970326.0548,2263052.7,1724110.067,7014121.874,3760895.437,2048552.051,29044.84059,10522.02384,6903.294845,29192.89253,26634.73404,163816.2228,22694.89336,8110.43969,3293.264439,5823.693739,3702.562645,4940.084327,5594.408281,3299.461566
PI533964_control,24819039.87,169325.1439,2561706.357,1847214.531,2002636.626,1296104.874,35102.11421,59017.49175,168343.8428,1863520.692,712459.3509,2102981.975,480908.7273,1007622.078,15554149.44,205687.9582,2317853.1,475537.4696,35941615.84,584129.9675,514706.6207,705455.0701,164633.3764,3188225.35,387.8160206,64525.66985,8440972.877,2660201.23,6043593.896,142563129.7,14634.61432,1617360.509,81208.88363,222593.6398,5734782.102,37212.0539,295122.4013,129098.7673,293329.8686,2892896.088,2422.584437,75484.79364,36731.85508,17331.83966,27128.96598,1856.887568,22338.33494,7289.385913,17135.81844,18777.46922,16108.58249,6721.465102,67052.78063,14998.03835,11767.20667,9587.100796,3386.689128,15383.42089,67617.66775,231982.9838,149335.7067,8978.056773,8553.665629,5248.184346,29086.71254,206043.7326,470224.0404,459531.8668,664091.2531,538276.9852,8240.036471,17998.09832,77531.83028,138480.9688,189573.5951,408347.9489,1570671.657,483997.9925,231332.5231,10686.21569,4494.0578,4045.422033,11430.75813,15986.17811,12072.80296,3933.55068,4035.692321,5502.419507,2349.305697,6793.679163,4772.379556,8340.248353,4711.750578
PI533964_lowinput,22862792.66,3863183.46,2558011.888,1541930.862,1621268.824,2991682.208,48969.86726,65153.41885,342281.888,1284866.935,672426.3397,1781402.943,439315.8199,985347.1761,13291069.87,263155.5924,3840576.602,693528.2133,38800537.6,686687.0056,278939.5777,879716.5762,74275.56953,2856405.961,5985.707231,24473.19282,4391670.99,1796071.751,5028930.871,120117224.7,16496.4498,1120002.185,30078.55673,208492.4183,3585006.06,19189.32043,314800.6676,102937.3156,295673.2921,1987531.889,8627.824223,72205.26821,38630.14379,17314.85293,26479.00314,1621.911349,5091.368682,3919.256113,46032.38088,42387.22851,14911.10642,1378.811395,91142.77842,42959.09054,21324.8438,4833.944512,1299.948589,6583.163643,90498.44621,145939.874,90640.76375,7392.446396,6487.456948,8413.329396,24297.92298,151294.7,308818.2127,697889.7025,1026857.818,1034789.89,7229.58401,57219.1299,234882.7177,660341.1896,1839938.778,1674009.057,6782532.483,4464218.141,2663682.792,97144.51937,5384.054964,5788.723153,20685.1896,38866.96206,177391.1063,20702.44753,3256.607137,1517.07255,2397.196824,2986.921578,3660.049136,8063.030338,6179.50344
PI533965_control,26854332.1,315991.7067,3906057.314,2572917.893,2112239.277,1377028.962,40111.19459,64285.85825,211534.9022,2017437.104,761288.4993,1537370.325,517302.7833,1082657.642,16971393.15,250274.6259,2573515.912,662614.6117,40904362.73,1246066.043,562414.0512,1394868.301,300036.2646,3516261.913,395.2814374,74172.72462,9056597.928,3169784.624,8314416.714,148744258.9,28276.05362,2313225.323,115133.8961,306421.6969,7360539.09,49118.23312,373242.824,186446.0508,439010.8806,4150484.423,5504.121511,143933.4766,71313.47145,32744.87604,52713.65103,3061.342964,20187.18295,9579.267671,11447.9515,22094.32731,13068.57474,9494.327181,38152.00622,12111.96543,11086.06805,8484.017901,5289.534289,19946.27146,55115.91019,154131.3479,95718.6453,12687.89906,11254.42204,8258.402882,30633.67057,170553.6922,540801.2458,406085.1556,602487.4736,480629.8703,11039.90138,18890.48545,76330.39997,153350.3997,188594.4355,411094.7123,1639492.295,524802.3259,240259.1926,12525.42858,2809.500696,2624.334108,6723.461847,8583.682929,9510.432774,3997.270471,1970.311475,1336.547375,1478.447102,1472.855766,2224.151478,3774.87917,1893.791953
PI533965_lowinput,26642998.21,4157087.599,2475955.292,3023032.199,2833810.65,3977587.57,60479.9601,129284.5447,526145.4752,2513865.294,1330822.212,1926952.427,781820.4428,2166929.923,18157222.1,554204.4421,5421812.744,1614444.846,43079389.93,863728.2496,460688.6678,1009002.981,157331.2137,3458356.26,9783.118981,50763.48252,7323025.214,5225010.861,12129355.16,150223972.8,23128.23468,1825922.4,57187.80096,282307.06,4425320.269,33861.72912,368530.4136,159246.463,442299.1227,2237338.267,-3669.336475,104446.7886,41601.23548,22026.79103,32134.54322,3785.722847,5025.547262,9644.016927,49347.12871,43138.98719,19684.42321,1932.684557,101549.3539,50811.03134,9553.875874,4500.054438,830.2790072,3962.23931,143266.8694,253498.0842,134076.5455,20180.0932,15196.12498,7906.204098,59226.97729,255075.2346,696775.933,1480365.974,2092415.716,1569777.774,13614.83269,101778.9668,314737.438,1058297.442,3571778.441,3190337.7,9988870.504,5242535.033,2450908.877,144454.4055,7600.354958,12514.06554,52967.35559,40174.38767,292015.853,33580.14242,6200.650214,5350.913698,6028.932953,5092.954996,6910.570402,8316.579342,6394.059261
PI533967_control,23393712.91,205510.0768,2361869.071,1731528.858,1757616.561,1038646.412,27894.54715,52961.24815,163417.2218,1750574.751,605603.3263,1455742.308,399504.1571,988191.572,14289425.26,189326.3877,1641954.727,419758.8917,34191631.81,580482.5212,465937.9583,864380.4656,205346,3025193.474,187.5439163,67585.82681,7059749.471,2272655.756,5453790.304,130767413,23871.07882,2167463.713,100125.0888,267190.5014,6965263.822,42785.17871,266240.9319,152967.9692,334446.3623,3900700.668,7770.980162,137411.1908,92644.38208,34508.95457,57258.63211,2876.824503,16265.61783,9265.667519,14974.40382,16851.19842,14391.73148,5482.519708,49753.65438,13346.73552,9542.67874,4530.515337,5712.681668,12906.37468,57736.02063,142394.9826,82757.31846,12323.19252,7382.943156,4331.283628,31611.4742,194331.1034,622163.2884,445459.8702,650047.722,498429.7736,10356.6178,23770.23088,97234.36478,176243.1381,177627.6694,571050.8722,2582145.808,729995.999,285180.5955,14283.86456,2998.65739,2813.565425,6973.82166,9293.174706,14181.88796,6936.02557,2077.835099,1252.952577,1569.74718,1487.553134,2321.585545,3854.725321,1894.649147
PI533967_lowinput,23689853.82,4225741.921,2561358.547,1692531.911,1955043.739,2909899.653,33633.99135,99324.57149,411837.6879,1559110.403,751837.2802,1627356.277,492931.9296,1355592.1,13108615.03,424320.242,3432503.51,713012.4631,38261694.08,737940.1764,317228.208,897361.0335,92097.32621,2931775.563,6235.466267,38593.42575,5466506.509,2710365.11,5884796.31,126482580.4,14997.76874,1395287.992,38852.98111,184150.0041,3433662.213,22924.82887,273036.9184,101401.1299,276961.3004,1647149.316,30080.05941,329137.52,102775.8832,67876.09127,134144.6614,10926.61937,29375.90829,23907.45325,84788.69707,102954.6836,42831.69705,3578.424295,138979.8153,155311.6577,89292.15919,11785.72769,3829.725546,9120.489362,225387.24,296983.4356,125165.0912,14569.46173,12107.37573,6279.020621,82946.93887,308980.6565,579907.639,936478.3385,1291849.829,1095530.29,32675.93373,203624.4583,546886.044,1040999.726,2462225.699,1959731.269,6852512.856,3828309.186,1894613.084,120158.0201,21119.85431,13706.37733,19034.25286,39992.03226,211190.9971,25582.78648,15177.83552,3297.371125,4455.331685,2238.707356,4149.227072,6026.165005,3021.342245
PI533970_control,24872265.73,201093.2623,2465064.083,1809394.929,1644136.779,1235806.942,31571.11623,57833.13988,150037.5671,1524733.23,670113.8793,1198963.598,394267.5987,1141314.065,15838820.11,280877.4694,2671510.949,593472.4025,38623492.28,651806.8562,470952.645,861059.3615,152925.6988,3194592.693,343.9830844,52369.11041,6958182.353,2167166.179,6538205.534,137787795.1,20527.12733,1868045.148,71835.02839,271868.3122,6007065.194,41824.67674,316636.8099,141404.8669,369483.3834,3201590.257,5281.101243,145917.6026,101830.5755,34295.7088,57940.88988,2013.213972,21669.0914,6445.371242,12136.98969,16195.91423,14795.53654,7240.71313,57473.03671,12994.32095,11925.49489,10382.08989,4383.097801,20679.03391,82626.94446,228334.2258,128548.6592,13431.92101,10590.92593,7693.27409,50032.14855,313547.7036,734316.448,568608.4602,893235.2706,698626.406,15287.16278,37743.23179,174020.5709,284073.6632,332579.0712,519073.9371,2573967.921,961655.9676,436041.211,16161.09264,4136.471414,3509.499772,10529.64793,15420.16699,13641.04677,7581.192603,3152.944271,1849.418619,1604.746343,1667.839568,2877.547942,4651.838577,2893.569666
PI533970_lowinput,24271093.28,4064230.874,2536557.414,1974397.078,1671180.576,2918816.617,30867.26929,71835.0677,352288.8777,1333081.789,752260.4275,1725503.107,420306.0195,1155423.321,12775764.38,276985.1154,2905504.826,705079.3661,40260459.88,731181.7014,286968.2004,857864.2048,78953.05354,2905471.708,4759.459759,38598.37569,5001319.821,2796685.236,5550863.669,129956569.6,14624.87227,1381207.517,32885.76663,165615.7644,3786834.747,17616.66994,260081.6571,105828.7433,268149.2128,1832337.55,30959.75765,734853.1982,275739.2852,101956.7776,195974.6885,15123.92159,50753.90042,44489.72444,93707.72438,123815.2372,58222.82373,2490.191083,137176.7252,227825.0169,230268.8255,13605.28677,2115.951337,6582.597226,313476.6296,358146.2861,131879.7301,19453.03384,8373.798095,7259.925273,92318.76677,443084.6557,624844.6934,805133.4758,979013.1723,931966.9387,41296.84945,308514.7493,905119.6776,1542925.715,2549632.644,1557924.794,5831792.233,3433436.672,1903527.775,130129.3371,34485.7861,18260.64007,49682.74916,20616.99103,160812.6389,21428.60732,26136.67318,10212.01084,8974.864818,2214.479046,6018.402941,5186.062669,3802.009367
PI533972_control,26161204.69,215251.7863,2545149.508,1960340.665,1927396.802,1206593.958,39129.92391,56338.0906,168151.8013,1723024.893,709101.2268,1452216.336,479216.7036,1004129.756,15571159,209499.6381,1924952.991,504070.1231,36418873.48,628443.3952,534810.079,947240.4738,190607.8785,3405726.014,128.668023,32062.6113,8218201.172,2837195.894,6967189.191,146047684.1,19697.34197,1986402.994,77131.24378,243088.1518,6266409.695,44057.4379,275365.9559,143069.396,324613.4901,3408019.464,5326.443993,121497.5783,82757.44573,34472.54925,54148.72673,2681.546638,21459.87875,8296.542167,16058.97076,17570.56304,13612.52426,5401.072605,60161.55376,10795.02795,9627.154769,7546.522827,2887.573187,14193.07551,52375.13168,152271.9687,101370.2662,8360.098717,7799.750744,6084.849884,29851.96263,182257.7855,566270.3964,421326.8955,681430.447,584181.5544,10707.16537,21832.70062,85405.02181,149437.9215,187823.4196,450934.7154,2014570.009,645566.959,296409.0703,12203.9185,2587.744842,2236.351287,7609.910588,9105.558316,11098.43771,5538.278884,2094.526152,1387.063921,1561.203672,1510.655151,2339.418347,3853.431719,2121.000296
PI533972_lowinput,23735888.76,4522577.603,2898588.31,1727074.346,1627835.067,2601858.733,37612.94165,65629.68652,305075.7948,1493128.924,708813.4897,1436033.433,339507.0915,1008109.001,12556453.59,237531.9187,3491441.09,746334.0601,38009800.84,838744.4088,297056.0694,1080574.166,81109.23974,2831222.661,8016.020278,21234.25543,6287983.031,2990965.564,6950038.34,126544348.6,27399.30675,1477868.611,29355.62973,217113.9024,3998532.642,23985.67347,289588.4906,109711.3407,356299.5046,2155173.014,53785.1051,435286.8208,230488.99,92261.96776,152276.4208,9057.066496,27117.2438,20482.74834,87350.46591,111244.5038,44840.4388,4570.834169,119888.1374,152636.3379,104197.1795,11533.0015,2345.137002,8961.953662,156740.8098,303080.023,120302.5467,15150.54255,8700.119627,3784.114738,60450.16886,261900.4089,552673.8783,803724.2322,912588.1267,730010.2576,26926.8803,141364.1691,570073.2862,1096433.262,2117043.543,1292418.234,4377983.096,2091668.036,1100772.093,51546.43523,15480.28344,9808.970472,28162.54529,18451.91901,106398.4259,15470.91592,15745.52123,6097.617932,6966.618326,2130.374987,4571.871315,3467.593561,2437.402691
PI533976_control,22926090.71,202525.0182,2521366.916,1835824.596,1920612.45,1108570.725,23609.50253,65490.5323,289016.6833,1969408.145,738281.5218,1255853.776,505565.043,1208832.209,13796750.87,255161.6902,1894363.156,539580.6689,34417323.07,614273.7487,451784.8443,862428.5372,164945.7283,2932910.186,261.8033749,61334.78878,6696347.657,2567565.025,7129003.879,130740287,14158.26175,1695102.133,69282.59097,221449.1316,5228657.211,25689.93151,236718.1884,128077.6452,298493.1154,2740595.43,2654.329789,115439.8567,28667.49781,15302.11386,25984.03995,1912.393386,21911.71754,4761.129883,10954.07874,13037.0025,10830.22532,4285.286986,60850.95612,9064.611104,14678.57067,8411.350818,3148.921357,10983.76768,81388.78647,261633.1378,132855.3196,22307.06423,10660.23939,6143.5746,34900.37536,306846.7733,1329248.062,1043418.205,1288243.993,719543.001,12433.12406,27392.4646,120155.9759,337490.9151,333186.7874,1329407.747,5093530.596,1688849.694,530205.0714,10827.53554,3880.770624,3971.039294,22957.0746,32001.0828,50519.18291,10969.49001,3201.495636,1442.738392,2502.595336,2680.997337,3348.39964,6387.718005,2030.712442
PI533976_lowinput,28079816.46,4168643.419,2486727.789,1886957.88,1920233.289,3633112.472,29507.7623,78661.2898,374191.6316,1398578.756,805064.7643,1881128.78,416133.5379,1312548.449,15843819.79,293116.4269,3871529.297,808081.0869,44578098.29,791012.1145,349105.9491,923175.6219,92533.91931,3449739.817,5014.884096,35004.11653,6112032.002,2936955.593,5948072.489,147816627.1,16371.46232,1571401.302,24782.18545,174150.4231,3996244.562,24165.29255,294915.3328,108996.8498,305422.9312,1984932.753,24210.44448,598756.5811,233772.6169,100171.9945,173335.6774,9335.525179,45205.84451,22751.31444,89678.42107,101290.9036,54734.24287,2732.780573,134494.2322,201254.0843,187207.223,9187.483689,2552.253233,5939.35504,261090.6083,310065.9848,121060.6084,11036.8717,7542.664721,3977.738202,81248.27951,362121.9698,513625.6717,708047.8609,918573.642,882195.9744,39027.29332,283918.4294,901935.9341,1188239.31,2096316.487,1338252.563,4942841.854,3100883.346,1892443.524,92989.53371,29783.31737,12788.69697,19257.25885,20837.86369,140531.1926,19461.68822,23967.05419,8936.79904,7679.864382,1964.375914,5111.323158,4098.090854,2532.327935
PI533979_control,29081627.56,266490.1621,2802519.195,2571592.941,2359473.401,1430459.422,30212.11675,65057.57535,197037.4198,2101518.571,814786.5556,1537923.252,740723.2657,1361078.594,21090263.42,252731.8682,2316581.586,596389.8473,41655951.81,812953.2694,707181.6531,1160599.455,264873.3121,3945273.013,613.3144065,67226.21677,11860750.52,3579046.438,8619619.496,161980195.4,33194.89912,2663161.947,100761.1102,257971.0102,8687176.234,50720.47115,323003.0573,171771.0062,368934.2201,4750251.367,23029.19518,475443.0687,298085.9038,125665.2657,200044.829,10253.95778,59049.99971,28128.96802,34756.54547,45776.93023,34818.6801,5761.465402,91614.80809,44977.32364,34030.58289,11076.96857,5966.6465,12038.32804,100121.1985,272589.0901,168457.979,22165.69174,7817.021988,3585.85733,61849.50065,273940.5076,747297.6596,539412.9541,742539.705,545339.1333,35932.735,42198.4068,221181.9292,282837.0141,288354.7024,499157.6281,1820648.091,561730.3979,254166.3317,31142.12368,11729.07296,6483.225067,14633.92681,14007.20965,11399.33495,4323.340641,7966.994904,3877.750502,2778.631877,4843.059103,5161.877125,8670.930387,4783.516713
PI533979_lowinput,24132018.78,4260263.064,2667084.131,2145253.936,3060493.193,4001352.581,137358.5319,88828.53973,386387.3526,2792322.848,1344736.018,3749351.704,603331.7988,1438906.262,16515395.4,291849.9881,3201418.409,873515.2332,37516711.57,828227.4798,472432.0309,1051249.233,142321.8644,2919552.29,6414.480123,62149.99394,8714887.145,3895113.363,8240130.574,132942028.5,39401.80876,2229713.213,61693.5761,255816.276,4633941.131,39919.63201,274809.3207,124936.5403,342110.5623,2187423.689,2975.575554,106109.4117,27998.8205,16546.60968,33366.07518,2211.352845,14870.92663,14888.74486,63749.75577,99154.06999,47820.54274,2192.948594,105965.801,118914.6906,88319.17953,7750.536205,1469.031468,4607.306186,149704.4956,254175.0345,109812.1451,12206.80104,6469.725021,3709.510066,52061.56703,205260.2736,402881.4976,813796.7218,1073082.075,831084.173,22530.99204,118314.6545,261554.8418,583351.6413,1476601.503,1436400.737,5708887.77,2284059.416,1114872.933,29805.00482,10291.94997,3910.313574,16161.52923,12705.2915,137232.4413,16784.52023,8171.000745,1629.602434,1890.466385,1406.55892,2641.080527,2801.01823,2111.495877
PI533980_control,23839613.15,255349.7666,2679985.253,2166214.856,2198197.132,1661069.098,42223.64487,74101.02208,168692.5438,2073387.776,934824.2817,2006302.897,450645.1854,1273695.249,15060908.81,262397.4514,2553126.643,671727.8699,39822061.35,752779.3388,502367.2759,1088970.925,208682.4848,3151436.872,465.8900981,45025.85752,7477611.921,2706061.709,7878864.133,135373673.4,14016.18598,1403644.173,61031.39606,241742.4967,6903556.235,51235.21993,357890.3806,169553.3401,442556.4624,3837958.128,9141.813235,162108.133,106654.5924,32084.04614,57559.63362,2444.08997,23586.61519,6546.425041,15874.4409,21757.42335,12730.04591,9408.337756,44727.27025,18125.1878,14147.53856,13966.20161,5687.688518,25138.44025,79193.04877,257255.5392,156732.618,17880.94208,16379.09185,10382.21459,46858.38618,317827.7746,658195.5973,646100.6728,1017391.293,760338.0482,14672.57093,31972.48307,180845.2517,287727.9545,338084.7835,520589.1468,2740584.31,1160284.806,515388.2442,18883.97477,3820.850676,4313.928031,10525.02764,17900.63168,18184.69608,10097.56356,2530.495167,2143.861244,1688.825958,2004.27682,2733.52969,5561.110693,2560.975572
